NAME                                             VERSION           TYPE                   
@asamuzakjp/css-color                            5.1.9             npm                     
@asamuzakjp/dom-selector                         7.0.9             npm                     
@asamuzakjp/nwsapi                               2.3.9             npm                     
@babel/code-frame                                7.29.0            npm                     
@babel/code-frame                                7.29.7            npm                     
@babel/compat-data                               7.29.0            npm                     
@babel/core                                      7.29.0            npm                     
@babel/generator                                 7.29.1            npm                     
@babel/helper-compilation-targets                7.28.6            npm                     
@babel/helper-globals                            7.28.0            npm                     
@babel/helper-module-imports                     7.28.6            npm                     
@babel/helper-module-transforms                  7.28.6            npm                     
@babel/helper-string-parser                      7.27.1            npm                     
@babel/helper-string-parser                      7.29.7            npm   (+2 duplicates)   
@babel/helper-validator-identifier               7.28.5            npm                     
@babel/helper-validator-identifier               7.29.7            npm   (+3 duplicates)   
@babel/helper-validator-option                   7.27.1            npm                     
@babel/helpers                                   7.29.2            npm                     
@babel/parser                                    7.29.2            npm                     
@babel/parser                                    7.29.7            npm   (+2 duplicates)   
@babel/template                                  7.28.6            npm                     
@babel/traverse                                  7.29.0            npm                     
@babel/types                                     7.29.0            npm                     
@babel/types                                     7.29.7            npm   (+2 duplicates)   
@bramus/specificity                              2.4.2             npm                     
@cspotcode/source-map-consumer                   0.8.0             npm                     
@cspotcode/source-map-support                    0.7.0             npm                     
@csstools/color-helpers                          6.0.2             npm                     
@csstools/css-calc                               3.1.1             npm                     
@csstools/css-color-parser                       4.0.2             npm                     
@csstools/css-parser-algorithms                  4.0.0             npm                     
@csstools/css-syntax-patches-for-csstree         1.1.2             npm                     
@csstools/css-tokenizer                          4.0.0             npm                     
@csstools/postcss-font-format-keywords           1.0.1             npm                     
@csstools/postcss-hwb-function                   1.0.2             npm                     
@csstools/postcss-is-pseudo-class                2.0.7             npm                     
@csstools/postcss-normalize-display-values       1.0.1             npm                     
@csstools/postcss-progressive-custom-properties  1.3.0             npm                     
@csstools/selector-specificity                   2.2.0             npm                     
@esbuild/linux-x64                               0.27.7            npm                     
@eslint-community/eslint-utils                   4.9.1             npm                     
@eslint-community/regexpp                        4.12.2            npm                     
@eslint/eslintrc                                 2.1.4             npm                     
@eslint/js                                       8.57.0            npm                     
@exodus/bytes                                    1.15.0            npm                     
@fastify/busboy                                  1.0.0             npm                     
@fortawesome/fontawesome-free                    5.15.4            npm                     
@humanwhocodes/config-array                      0.11.14           npm                     
@humanwhocodes/module-importer                   1.0.1             npm                     
@humanwhocodes/object-schema                     2.0.3             npm                     
@isaacs/cliui                                    8.0.2             npm                     
@istanbuljs/schema                               0.1.3             npm                     
@jridgewell/gen-mapping                          0.3.13            npm                     
@jridgewell/remapping                            2.3.5             npm                     
@jridgewell/resolve-uri                          3.1.2             npm                     
@jridgewell/sourcemap-codec                      1.5.5             npm                     
@jridgewell/trace-mapping                        0.3.31            npm                     
@my-scope/package-a                              0.0.0             npm                     
@my-scope/package-b                              0.0.0             npm                     
@nodelib/fs.scandir                              2.1.5             npm                     
@nodelib/fs.stat                                 2.0.5             npm                     
@nodelib/fs.walk                                 1.2.8             npm                     
@one-ini/wasm                                    0.1.1             npm                     
@oxc-project/types                               0.124.0           npm                     
@pkgjs/parseargs                                 0.11.0            npm                     
@rolldown/binding-linux-x64-gnu                  1.0.0-rc.15       npm                     
@rolldown/binding-linux-x64-musl                 1.0.0-rc.15       npm                     
@rolldown/pluginutils                            1.0.0-rc.15       npm                     
@rolldown/pluginutils                            1.0.0-rc.2        npm                     
@sindresorhus/is                                 4.6.0             npm                     
@sinonjs/commons                                 1.8.6             npm                     
@sinonjs/commons                                 3.0.1             npm                     
@sinonjs/fake-timers                             11.3.1            npm                     
@sinonjs/fake-timers                             6.0.1             npm                     
@sinonjs/fake-timers                             9.1.2             npm                     
@sinonjs/samsam                                  5.3.1             npm                     
@sinonjs/samsam                                  6.1.3             npm                     
@sinonjs/text-encoding                           0.7.3             npm                     
@socket.io/component-emitter                     3.1.2             npm                     
